,ICENODE,ICENODE_UNIFORM,GRU,RETAIN
loss,0.0007653178763575852,0.000770987244322896,37.7564811706543,37.823795318603516
prediction_loss,0.0007653156062588096,0.000770987244322896,,
dyn_loss,9.77375975708128e-07,0.0,,
admissions_count,6468.0,6468.0,,
odeint_weeks,430637.28571428574,6468.0,,
nfe_per_week,2.203366994857788,44.0,,
Kfe,948.85205078125,284.5920104980469,,
accuracy,0.877919614315033,0.8776730298995972,0.7489625215530396,0.7998321056365967
recall,0.7935528755187988,0.7866626977920532,0.9183366894721985,0.8874277472496033
npv,0.9904594421386719,0.9901444911956787,0.9954943060874939,0.9942194223403931
specificity,0.8813891410827637,0.8814157247543335,0.7419971227645874,0.7962297797203064
precision,0.2157696783542633,0.21433542668819427,0.12768657505512238,0.15189315378665924
f1-score,0.33928629755973816,0.3368831276893616,0.2242000699043274,0.2593889832496643
tp,0.03134503215551376,0.031072871759533882,0.03627393767237663,0.03505305200815201
tn,0.846574604511261,0.8466001749038696,0.7126885056495667,0.7647790312767029
fp,0.11392576992511749,0.11390022188425064,0.24781185388565063,0.1957213431596756
fn,0.008154576644301414,0.008426737040281296,0.0032256704289466143,0.00444655679166317
MACRO-AUC,0.9260806218129148,0.9240013851621875,0.9272640513684489,0.927078351555424
MICRO-AUC,0.9288824759495522,0.928030953511526,0.932252109883801,0.9315931664902719
ACC-P0,0.3917720479553293,0.3907866644769256,0.37378879947446214,0.3769912957792741
ACC-P1,0.4642193653860444,0.4528498179386193,0.4781897897005276,0.46734041762651407
ACC-P2,0.6806567659809981,0.6701411308919841,0.7141407619223319,0.698367309288811
ACC-P3,0.8699730094466936,0.8734817813765182,0.8917004048582996,0.8916329284750337
ACC-P4,0.9379925932959833,0.9414110720729275,0.935238818725667,0.9437850156680277
diag_loss,,,37.7564811706543,37.823795318603516
l1_loss,,,67339.09375,56063.515625
l2_loss,,,7566.43212890625,7681.2958984375
